,Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선,Success
146,2016-07-06,3420.0,3335.0,3420.0,3375.0,22199.0,3239.127197265625,3381.0,3341.25,3344.5,3384.0,3462.1111111111113,3558.25,3393.666666666666,1
147,2016-07-07,3395.0,3350.0,3380.0,3380.0,37911.0,3243.92578125,3379.0,3362.5,3338.0,3390.5,3449.666666666666,3557.25,3396.0,1
148,2016-07-08,3435.0,3300.0,3380.0,3370.0,53496.0,3234.328369140625,3384.0,3378.75,3348.0,3393.333333333333,3436.555555555556,3556.083333333333,3398.25,1
149,2016-07-11,3390.0,3270.0,3360.0,3285.0,79683.0,3152.750244140625,3364.0,3367.5,3355.5,3393.5,3421.777777777778,3552.0,3399.5,1
150,2016-07-12,3295.0,3155.0,3295.0,3205.0,145786.0,3075.97119140625,3323.0,3344.375,3352.0,3390.333333333333,3411.222222222222,3541.416666666666,3400.208333333333,1
151,2016-07-13,3295.0,3210.0,3210.0,3295.0,60242.0,3162.347900390625,3307.0,3338.125,3344.0,3389.666666666666,3405.333333333333,3529.0,3401.583333333333,1
152,2016-07-14,3310.0,3245.0,3295.0,3300.0,29464.0,3167.146484375,3291.0,3327.5,3335.0,3389.333333333333,3398.444444444445,3517.833333333333,3402.958333333333,1
153,2016-07-15,3315.0,3260.0,3305.0,3310.0,24281.0,3176.743896484375,3279.0,3315.0,3331.5,3389.5,3391.333333333333,3505.666666666666,3404.666666666666,1
154,2016-07-18,3440.0,3300.0,3315.0,3425.0,105072.0,3287.1142578125,3307.0,3321.25,3335.5,3391.0,3383.333333333333,3496.083333333333,3407.833333333333,1
155,2016-07-19,3440.0,3370.0,3385.0,3400.0,62836.0,3263.120849609375,3346.0,3323.75,3334.5,3393.166666666666,3380.555555555556,3487.666666666666,3411.0,1
156,2016-07-20,3435.0,3375.0,3400.0,3395.0,35779.0,3258.322021484375,3366.0,3326.875,3336.5,3386.333333333333,3375.888888888889,3477.75,3414.083333333333,1
157,2016-07-21,3520.0,3360.0,3400.0,3470.0,116665.0,3330.302490234375,3400.0,3350.0,3345.5,3382.333333333333,3372.333333333333,3471.333333333333,3417.708333333333,1
158,2016-07-22,3680.0,3440.0,3470.0,3470.0,239353.0,3330.302490234375,3432.0,3383.125,3355.5,3379.333333333333,3372.777777777778,3465.0,3421.708333333333,1
159,2016-07-25,3525.0,3465.0,3525.0,3500.0,125707.0,3359.0947265625,3447.0,3408.75,3377.0,3379.833333333333,3376.1111111111113,3458.666666666666,3425.875,1
160,2016-07-26,3505.0,3465.0,3500.0,3495.0,115117.0,3354.296142578125,3466.0,3433.125,3406.0,3380.333333333333,3379.333333333333,3451.666666666666,3429.958333333333,1
161,2016-07-27,3550.0,3470.0,3500.0,3550.0,169392.0,3407.081787109375,3497.0,3463.125,3431.5,3382.166666666666,3386.0,3444.083333333333,3434.541666666666,1
162,2016-07-28,3655.0,3535.0,3560.0,3640.0,264521.0,3493.458740234375,3531.0,3490.0,3465.5,3389.0,3396.1111111111113,3439.083333333333,3439.541666666666,1
163,2016-07-29,3820.0,3635.0,3695.0,3680.0,300269.0,3531.84814453125,3573.0,3525.0,3502.5,3396.666666666666,3404.888888888889,3434.416666666666,3444.958333333333,1
164,2016-08-01,3695.0,3585.0,3680.0,3635.0,133067.0,3488.659912109375,3600.0,3555.0,3523.5,3402.833333333333,3412.777777777778,3429.166666666666,3450.291666666666,1
165,2016-08-02,3660.0,3455.0,3640.0,3540.0,110821.0,3397.484375,3609.0,3563.75,3537.5,3406.333333333333,3418.1111111111113,3426.833333333333,3454.833333333333,1
166,2016-08-03,3645.0,3470.0,3530.0,3635.0,74382.0,3488.659912109375,3626.0,3584.375,3561.5,3414.166666666666,3425.222222222222,3428.083333333333,3460.166666666666,1
167,2016-08-04,3640.0,3570.0,3635.0,3640.0,63225.0,3493.458740234375,3626.0,3601.875,3578.5,3420.666666666666,3432.555555555556,3428.583333333333,3465.666666666666,1
168,2016-08-05,3760.0,3580.0,3630.0,3750.0,375987.0,3599.030029296875,3640.0,3633.75,3606.5,3436.666666666666,3442.444444444445,3430.583333333333,3472.583333333333,1
169,2016-08-08,4025.0,3780.0,3800.0,3920.0,1011170.0,3762.186279296875,3697.0,3680.0,3648.5,3460.333333333333,3454.444444444445,3432.833333333333,3479.333333333333,1
170,2016-08-09,4030.0,3850.0,3930.0,4030.0,354707.0,3867.7578125,3795.0,3728.75,3702.0,3486.666666666666,3469.888888888889,3441.25,3486.916666666666,1
171,2016-08-10,4110.0,3945.0,4030.0,4090.0,248527.0,3925.34228515625,3886.0,3780.0,3756.0,3510.5,3480.777777777778,3449.333333333333,3495.333333333333,1
172,2016-08-11,4085.0,3970.0,4085.0,4010.0,167496.0,3848.56298828125,3960.0,3826.875,3793.0,3531.166666666666,3490.1111111111113,3455.666666666666,3503.0,1
173,2016-08-12,4070.0,3960.0,4045.0,3980.0,174514.0,3819.770751953125,4006.0,3881.875,3823.0,3552.333333333333,3499.444444444445,3464.5,3509.916666666666,1
174,2016-08-16,4135.0,3840.0,3990.0,4030.0,463505.0,3867.7578125,4028.0,3931.25,3862.5,3573.833333333333,3511.555555555556,3475.833333333333,3517.333333333333,1
175,2016-08-17,4050.0,3935.0,4030.0,3980.0,146842.0,3819.770751953125,4018.0,3973.75,3906.5,3592.833333333333,3522.666666666666,3486.333333333333,3524.666666666666,1
176,2016-08-18,4195.0,3965.0,3980.0,4195.0,365840.0,4026.115234375,4039.0,4029.375,3962.5,3620.166666666666,3538.222222222222,3502.083333333333,3533.75,1
177,2016-08-19,4225.0,4000.0,4195.0,4140.0,193118.0,3973.329345703125,4065.0,4056.875,4012.5,3645.5,3553.888888888889,3518.0,3542.125,1
