,날짜,종가,전일비,시가,고가,저가,거래량,5일선,8일선,10일선,30일선,45일선,60일선,120일선,성공
102,2017.05.22,10750.0,100.0,10850.0,10900.0,10650.0,203245.0,10760.0,10837.5,10945.0,11376.666666666664,11540.0,11395.833333333336,,1
103,2017.05.23,11250.0,500.0,10800.0,11250.0,10800.0,806246.0,10880.0,10837.5,10920.0,11353.333333333336,11537.777777777776,11415.833333333336,,1
104,2017.05.24,11350.0,100.0,11300.0,11350.0,11000.0,427629.0,11000.0,10881.25,10930.0,11338.333333333336,11537.777777777776,11436.666666666664,,1
105,2017.05.25,11450.0,100.0,11350.0,11450.0,11200.0,364916.0,11130.0,10981.25,10950.0,11315.0,11532.222222222224,11455.0,,1
106,2017.05.26,11600.0,150.0,11450.0,11900.0,11450.0,637411.0,11280.0,11100.0,11010.0,11303.333333333336,11527.777777777776,11472.5,,1
107,2017.05.29,11600.0,0.0,11700.0,11900.0,11600.0,383367.0,11450.0,11206.25,11105.0,11296.666666666664,11524.444444444443,11488.333333333336,,1
108,2017.05.30,12100.0,500.0,11550.0,12100.0,11550.0,645727.0,11620.0,11368.75,11250.0,11311.666666666664,11523.333333333336,11515.0,,1
109,2017.05.31,12500.0,400.0,12350.0,12500.0,12100.0,1382369.0,11850.0,11575.0,11425.0,11338.333333333336,11525.555555555557,11545.833333333336,,1
110,2017.06.01,12700.0,200.0,12450.0,12750.0,12150.0,761397.0,12100.0,11818.75,11615.0,11376.666666666664,11533.333333333336,11568.333333333336,,1
111,2017.06.02,13700.0,1000.0,12950.0,14300.0,12800.0,3696920.0,12520.0,12125.0,11900.0,11445.0,11573.333333333336,11605.833333333336,,1
112,2017.06.05,14250.0,550.0,13700.0,14500.0,13600.0,1725538.0,13050.0,12487.5,12250.0,11531.666666666664,11626.666666666664,11649.166666666664,,1
113,2017.06.07,14200.0,50.0,14500.0,15100.0,13750.0,2718029.0,13470.0,12831.25,12545.0,11621.666666666664,11682.222222222224,11691.666666666664,,1
114,2017.06.08,15900.0,1700.0,14350.0,16350.0,14150.0,4148400.0,14150.0,13368.75,13000.0,11770.0,11775.555555555557,11767.5,,1
115,2017.06.09,16050.0,150.0,16050.0,16350.0,15600.0,2165709.0,14820.0,13925.0,13460.0,11920.0,11870.0,11847.5,,1
116,2017.06.12,16000.0,50.0,15800.0,16150.0,15150.0,1541656.0,15280.0,14412.5,13900.0,12076.666666666664,11955.555555555557,11925.833333333336,,1
117,2017.06.13,18500.0,2500.0,15950.0,19850.0,15800.0,7514045.0,16130.0,15162.5,14590.0,12306.666666666664,12098.888888888889,12040.833333333336,,1
118,2017.06.14,18900.0,400.0,18300.0,19700.0,18300.0,2883750.0,17070.0,15937.5,15270.0,12556.666666666664,12253.333333333336,12166.666666666664,,1
119,2017.06.15,19250.0,350.0,19000.0,19600.0,18500.0,1873865.0,17740.0,16631.25,15945.0,12820.0,12418.888888888889,12298.333333333336,11819.5,1
120,2017.06.16,23700.0,4450.0,19600.0,24450.0,19450.0,12899547.0,19270.0,17812.5,17045.0,13231.666666666664,12675.555555555557,12498.333333333336,11903.666666666664,1
121,2017.06.19,27000.0,3300.0,24500.0,27450.0,23900.0,6736787.0,21470.0,19412.5,18375.0,13760.0,13010.0,12751.666666666664,12020.75,1
122,2017.06.20,24000.0,3000.0,26850.0,26900.0,22700.0,7282571.0,22570.0,20425.0,19350.0,14181.666666666664,13281.111111111111,12955.833333333336,12117.0,1
123,2017.06.21,22950.0,1050.0,23500.0,25750.0,22100.0,6487536.0,23380.0,21287.5,20225.0,14563.333333333336,13532.222222222224,13135.833333333336,12203.25,1
124,2017.06.22,21500.0,1450.0,21350.0,22250.0,20250.0,5297005.0,23830.0,21975.0,20785.0,14905.0,13750.0,13287.5,12277.416666666664,1
125,2017.06.23,19900.0,1600.0,21300.0,21950.0,19300.0,5740193.0,23070.0,22150.0,21170.0,15193.333333333336,13935.555555555557,13413.333333333336,12337.833333333336,1
126,2017.06.26,19950.0,50.0,19600.0,20400.0,19300.0,2538247.0,21660.0,22281.25,21565.0,15491.666666666664,14120.0,13547.5,12397.416666666664,1
127,2017.06.27,20700.0,750.0,20150.0,21200.0,19950.0,3075765.0,21000.0,22462.5,21785.0,15826.666666666664,14321.111111111111,13695.0,12459.916666666664,1
128,2017.06.28,19750.0,950.0,21000.0,21550.0,19400.0,2355050.0,20360.0,21968.75,21870.0,16130.0,14504.444444444443,13829.166666666664,12514.083333333336,1
129,2017.06.29,20600.0,850.0,20200.0,20700.0,19000.0,2025240.0,20180.0,21168.75,22005.0,16458.333333333332,14707.777777777776,13977.5,12577.833333333336,1
130,2017.06.30,20050.0,550.0,20150.0,20800.0,19950.0,1262725.0,20210.0,20675.0,21640.0,16766.666666666668,14896.666666666664,14115.0,12638.666666666664,1
131,2017.07.03,20100.0,50.0,20100.0,20250.0,19350.0,1338332.0,20240.0,20318.75,20950.0,17075.0,15092.222222222224,14247.5,12699.083333333336,1
132,2017.07.04,22200.0,2100.0,20100.0,22250.0,19950.0,6473469.0,20540.0,20406.25,20770.0,17456.666666666668,15327.777777777776,14416.666666666664,12774.083333333336,1
133,2017.07.05,21950.0,250.0,22500.0,24200.0,21700.0,5625307.0,20980.0,20662.5,20670.0,17813.333333333332,15562.222222222224,14583.333333333336,12848.25,1
