,Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선,Success
1454,2006-01-03,5600.0,5350.0,5410.0,5500.0,42800.0,5387.5703125,5598.0,5702.5,5797.0,5774.0,5438.777777777777,5244.583333333333,4419.75,1
1455,2006-01-04,5590.0,5400.0,5500.0,5580.0,37600.0,5465.9345703125,5564.0,5662.5,5737.0,5803.0,5453.88888888889,5265.75,4440.583333333333,1
1456,2006-01-05,5590.0,5400.0,5590.0,5500.0,37900.0,5387.5703125,5556.0,5616.25,5670.0,5827.666666666668,5468.11111111111,5284.916666666667,4460.833333333333,1
1457,2006-01-06,5750.0,5550.0,5620.0,5720.0,26700.0,5603.0732421875,5580.0,5598.75,5652.0,5858.0,5491.666666666667,5309.0,4482.833333333333,1
1458,2006-01-09,6490.0,5600.0,5950.0,5920.0,145300.0,5798.98486328125,5644.0,5620.0,5657.0,5894.0,5518.777777777777,5325.75,4506.333333333333,1
1459,2006-01-10,6800.0,6050.0,6190.0,6500.0,584900.0,6367.12841796875,5844.0,5740.0,5721.0,5940.666666666668,5558.777777777777,5350.75,4533.833333333333,1
1460,2006-01-11,6900.0,6060.0,6700.0,6200.0,209500.0,6073.26123046875,5968.0,5815.0,5766.0,5979.0,5588.88888888889,5375.75,4558.0,1
1461,2006-01-12,7110.0,6250.0,6250.0,6700.0,386700.0,6563.0400390625,6208.0,5952.5,5882.0,6022.0,5630.444444444444,5412.416666666667,4582.583333333333,1
1462,2006-01-13,7430.0,6640.0,7100.0,6970.0,298000.0,6827.52099609375,6458.0,6136.25,6019.0,6047.0,5678.666666666668,5453.583333333333,4606.541666666667,1
1463,2006-01-16,6970.0,6000.0,6970.0,6000.0,344100.0,5877.349609375,6474.0,6188.75,6059.0,6020.333333333332,5706.222222222223,5471.916666666667,4624.833333333333,1
1464,2006-01-17,6100.0,5620.0,6000.0,5660.0,160000.0,5544.2998046875,6306.0,6208.75,6075.0,5987.0,5726.444444444444,5484.5,4639.25,1
1465,2006-01-18,5760.0,5150.0,5540.0,5450.0,135400.0,5338.59228515625,6156.0,6175.0,6062.0,5958.666666666668,5740.88888888889,5496.166666666667,4650.916666666667,1
1466,2006-01-19,5670.0,5300.0,5450.0,5300.0,47100.0,5191.658203125,5876.0,6097.5,6042.0,5934.666666666668,5753.666666666668,5505.333333333332,4661.333333333333,1
1467,2006-01-20,5390.0,4615.0,5260.0,4760.0,141900.0,4662.69677734375,5434.0,5880.0,5946.0,5889.666666666668,5755.0,5507.0,4668.5,1
1468,2006-01-23,4700.0,4270.0,4420.0,4300.0,82000.0,4212.10009765625,5094.0,5642.5,5784.0,5833.0,5745.0,5500.916666666668,4672.916666666667,1
1469,2006-01-24,4620.0,4000.0,4150.0,4300.0,60800.0,4212.10009765625,4822.0,5342.5,5564.0,5782.0,5735.11111111111,5493.416666666667,4676.791666666667,1
1470,2006-01-25,4600.0,4290.0,4300.0,4480.0,110200.0,4388.42041015625,4628.0,5031.25,5392.0,5729.666666666668,5730.0,5486.416666666667,4683.583333333333,1
1471,2006-01-26,4800.0,4450.0,4450.0,4790.0,36100.0,4692.08349609375,4526.0,4880.0,5201.0,5679.666666666668,5730.666666666668,5485.25,4693.666666666667,1
1472,2006-01-27,5090.0,4705.0,4705.0,5000.0,58500.0,4897.791015625,4574.0,4797.5,5004.0,5640.0,5734.88888888889,5490.916666666667,4706.333333333333,1
1473,2006-01-31,5240.0,4990.0,5020.0,5190.0,109100.0,5083.9072265625,4752.0,4765.0,4923.0,5612.333333333332,5742.666666666668,5499.083333333332,4719.833333333333,1
1474,2006-02-01,5190.0,4820.0,5190.0,4950.0,30000.0,4848.8134765625,4882.0,4721.25,4852.0,5574.666666666668,5739.333333333332,5503.25,4731.833333333333,1
1475,2006-02-02,5200.0,4765.0,4900.0,4905.0,36200.0,4804.73291015625,4967.0,4739.375,4797.5,5532.166666666668,5736.11111111111,5504.25,4743.541666666667,1
1476,2006-02-03,4905.0,4570.0,4755.0,4635.0,31000.0,4540.25244140625,4936.0,4781.25,4731.0,5481.0,5718.88888888889,5501.0,4753.0,1
1477,2006-02-06,4655.0,4430.0,4530.0,4470.0,57200.0,4378.62548828125,4830.0,4802.5,4702.0,5433.333333333333,5680.0,5495.5,4761.25,1
1478,2006-02-07,4780.0,4430.0,4500.0,4550.0,30800.0,4456.98974609375,4702.0,4811.25,4727.0,5389.333333333333,5630.0,5492.0,4770.833333333333,1
1479,2006-02-08,4790.0,4500.0,4500.0,4555.0,36300.0,4461.8876953125,4623.0,4781.875,4752.5,5345.833333333333,5583.222222222223,5488.75,4780.791666666667,1
1480,2006-02-09,4785.0,4595.0,4610.0,4660.0,16800.0,4564.7412109375,4574.0,4739.375,4770.5,5309.5,5546.777777777777,5486.416666666667,4791.291666666667,1
1481,2006-02-10,4900.0,4615.0,4640.0,4665.0,8700.0,4569.63916015625,4580.0,4673.75,4758.0,5280.333333333333,5516.666666666668,5485.416666666667,4801.25,1
1482,2006-02-13,4775.0,4665.0,4670.0,4680.0,16200.0,4584.33251953125,4622.0,4640.0,4726.0,5249.666666666667,5484.88888888889,5485.083333333333,4811.333333333333,1
1483,2006-02-14,4820.0,4650.0,4700.0,4700.0,230500.0,4603.923828125,4652.0,4614.375,4677.0,5219.666666666667,5456.0,5484.25,4821.75,1
