,Date,High,Low,Open,Close,Volume,Adj Close,5일선,8일선,10일선,30일선,45일선,60일선,120일선,Success
1975,2008-02-19,28200.0,26900.0,27000.0,27000.0,87108.0,26448.072265625,26830.0,25931.25,25450.0,24643.33333333333,26501.11111111111,28385.83333333333,30152.5,1
1976,2008-02-20,28700.0,26500.0,27050.0,26500.0,127727.0,25958.29296875,27000.0,26212.5,25820.0,24560.0,26361.11111111111,28203.33333333333,30141.66666666667,1
1977,2008-02-21,30000.0,27000.0,27500.0,28400.0,113231.0,27819.453125,27250.0,26712.5,26235.0,24556.66666666667,26281.11111111111,28052.5,30147.5,1
1978,2008-02-22,29400.0,27550.0,29400.0,27700.0,61917.0,27133.763671875,27320.0,27093.75,26580.0,24563.33333333333,26192.222222222223,27922.5,30141.66666666667,1
1979,2008-02-25,27700.0,23650.0,27700.0,26300.0,267649.0,25762.380859375,27180.0,27175.0,26770.0,24526.66666666667,26083.33333333333,27796.66666666667,30127.5,1
1980,2008-02-26,27000.0,24700.0,26400.0,25900.0,61251.0,25370.55859375,26960.0,27018.75,26895.0,24391.66666666667,25975.55555555556,27711.66666666667,30111.25,1
1981,2008-02-27,26800.0,25750.0,26500.0,26300.0,51650.0,25762.380859375,26920.0,26887.5,26960.0,24325.0,25871.11111111111,27617.5,30103.33333333333,1
1982,2008-02-28,26800.0,25850.0,26500.0,25900.0,79240.0,25370.55859375,26420.0,26750.0,26835.0,24258.33333333333,25757.777777777777,27479.16666666667,30098.33333333333,1
1983,2008-02-29,27700.0,25700.0,25700.0,27500.0,50371.0,26937.8515625,26380.0,26812.5,26850.0,24296.66666666667,25683.33333333333,27377.5,30100.83333333333,1
1984,2008-03-03,29250.0,26700.0,26900.0,27700.0,67637.0,27133.763671875,26660.0,26962.5,26920.0,24386.66666666667,25627.777777777777,27270.0,30098.33333333333,1
1985,2008-03-04,28200.0,27050.0,28200.0,27550.0,45645.0,26986.828125,26990.0,26856.25,26975.0,24471.66666666667,25573.33333333333,27160.0,30095.0,1
1986,2008-03-05,29150.0,27150.0,27150.0,28900.0,44675.0,28309.232421875,27510.0,27006.25,27215.0,24620.0,25621.11111111111,27091.66666666667,30109.16666666667,1
1987,2008-03-06,29600.0,28600.0,28900.0,29300.0,38170.0,28701.0546875,28190.0,27381.25,27305.0,24845.0,25657.777777777777,27025.83333333333,30130.0,1
1988,2008-03-07,29850.0,28250.0,28250.0,28700.0,41438.0,28113.3203125,28430.0,27731.25,27405.0,25151.66666666667,25643.33333333333,26952.5,30145.83333333333,1
1989,2008-03-10,28600.0,27100.0,28300.0,27550.0,39934.0,26986.828125,28400.0,27887.5,27530.0,25420.0,25611.11111111111,26845.83333333333,30150.41666666667,1
1990,2008-03-11,28850.0,26350.0,27300.0,28750.0,28648.0,28162.298828125,28640.0,28243.75,27815.0,25685.0,25605.55555555556,26758.33333333333,30171.66666666667,1
1991,2008-03-12,29650.0,28800.0,29650.0,28800.0,24158.0,28211.27734375,28620.0,28406.25,28065.0,25906.66666666667,25601.11111111111,26691.66666666667,30202.5,1
1992,2008-03-13,29300.0,27450.0,27750.0,27800.0,28575.0,27231.71875,28320.0,28418.75,28255.0,26183.33333333333,25585.55555555556,26621.66666666667,30237.08333333333,1
1993,2008-03-14,28500.0,26900.0,28000.0,27300.0,25048.0,26741.939453125,28040.0,28387.5,28235.0,26435.0,25581.11111111111,26548.33333333333,30264.16666666667,1
1994,2008-03-17,27650.0,25550.0,26500.0,25800.0,33436.0,25272.6015625,27690.0,28000.0,28045.0,26648.33333333333,25545.55555555556,26458.33333333333,30277.5,1
1995,2008-03-18,26950.0,25500.0,25500.0,25600.0,14482.0,25076.689453125,27060.0,27537.5,27850.0,26758.33333333333,25448.88888888889,26372.5,30282.91666666667,1
1996,2008-03-19,27400.0,26100.0,27400.0,26100.0,22205.0,25566.46875,26520.0,27212.5,27570.0,26868.33333333333,25400.0,26290.83333333333,30302.5,1
1997,2008-03-20,26000.0,24800.0,26000.0,25600.0,33828.0,25076.689453125,26080.0,26968.75,27200.0,26913.33333333333,25348.88888888889,26200.83333333333,30313.33333333333,1
1998,2008-03-21,26500.0,25450.0,26500.0,26200.0,23003.0,25664.423828125,25860.0,26650.0,26950.0,26978.33333333333,25345.55555555556,26123.33333333333,30338.75,1
1999,2008-03-24,27050.0,26100.0,26200.0,26350.0,17366.0,25811.359375,25970.0,26343.75,26830.0,27043.33333333333,25375.55555555556,26059.16666666667,30366.66666666667,1
2000,2008-03-25,26800.0,26000.0,26600.0,26350.0,16215.0,25811.359375,26120.0,26162.5,26590.0,27100.0,25405.55555555556,25998.33333333333,30377.5,1
2001,2008-03-26,26550.0,25250.0,26100.0,26000.0,42253.0,25468.513671875,26100.0,26000.0,26310.0,27111.66666666667,25440.0,25985.83333333333,30376.66666666667,1
2002,2008-03-27,27100.0,25600.0,26000.0,26300.0,16515.0,25762.380859375,26240.0,26062.5,26160.0,27083.33333333333,25523.33333333333,25963.33333333333,30379.16666666667,1
2003,2008-03-28,26950.0,25950.0,25950.0,26300.0,13154.0,25762.380859375,26260.0,26150.0,26060.0,27048.33333333333,25674.44444444444,25912.5,30371.66666666667,1
2004,2008-03-31,26700.0,25850.0,26300.0,26300.0,27223.0,25762.380859375,26250.0,26175.0,26110.0,27025.0,25825.55555555556,25867.5,30342.08333333333,1
2005,2008-04-01,28800.0,25950.0,26300.0,27950.0,45002.0,27378.65234375,26570.0,26468.75,26345.0,27056.66666666667,25984.44444444444,25850.0,30325.41666666667,1
2006,2008-04-02,28900.0,26850.0,28100.0,27350.0,35359.0,26790.916015625,26840.0,26612.5,26470.0,27085.0,26100.0,25822.5,30288.33333333333,1
