,날짜,종가,전일비,시가,고가,저가,거래량,5일선,8일선,10일선,30일선,45일선,60일선,120일선,성공
447,2018.10.22,88000.0,2000.0,85500.0,89200.0,84800.0,1765611.0,87260.0,86325.0,85680.0,88483.33333333331,80460.0,74108.33333333331,74888.33333333331,1
448,2018.10.23,81500.0,6500.0,86300.0,86800.0,80700.0,2890989.0,85920.0,86562.5,85600.0,88610.0,81044.44444444444,74573.33333333331,74835.0,1
449,2018.10.24,77700.0,3800.0,83000.0,83900.0,75400.0,3335431.0,83800.0,85062.5,84980.0,88640.0,81504.44444444444,75030.0,74788.33333333331,1
450,2018.10.25,75500.0,2200.0,74500.0,76700.0,71400.0,4162679.0,81740.0,83875.0,84570.0,88650.0,81904.44444444444,75516.66666666669,74727.5,1
451,2018.10.26,70200.0,5300.0,77200.0,77200.0,70200.0,3717405.0,78580.0,81625.0,82620.0,88476.66666666669,82097.77777777777,75871.66666666669,74591.66666666669,1
452,2018.10.29,68700.0,1500.0,70600.0,72300.0,67000.0,4153231.0,74720.0,79175.0,80990.0,88220.0,82280.0,76193.33333333331,74425.83333333331,1
453,2018.10.30,71500.0,2800.0,68700.0,71700.0,67900.0,4142992.0,72720.0,77387.5,79320.0,88063.33333333331,82471.11111111111,76548.33333333331,74320.83333333331,1
454,2018.10.31,68900.0,2600.0,72300.0,72500.0,68300.0,2424842.0,70960.0,75250.0,77380.0,87536.66666666669,82624.44444444444,76826.66666666669,74180.0,1
455,2018.11.01,69000.0,100.0,70000.0,71400.0,68600.0,1839282.0,69660.0,72875.0,75700.0,86946.66666666669,82762.22222222223,77005.0,74070.0,1
456,2018.11.02,76000.0,7000.0,70800.0,76900.0,70200.0,3371093.0,70820.0,72187.5,74700.0,86376.66666666669,83006.66666666669,77296.66666666669,74075.83333333331,1
457,2018.11.05,76900.0,900.0,77500.0,78700.0,75700.0,2339659.0,72460.0,72087.5,73590.0,85810.0,83242.22222222223,77591.66666666669,74169.16666666669,1
458,2018.11.06,74800.0,2100.0,77200.0,77300.0,73500.0,1880017.0,73120.0,72000.0,72920.0,85126.66666666669,83406.66666666669,77863.33333333331,74210.0,1
459,2018.11.07,76200.0,1400.0,75200.0,77800.0,74000.0,2177460.0,74580.0,72750.0,72770.0,84353.33333333331,83631.11111111111,78150.0,74271.66666666669,1
460,2018.11.08,75600.0,600.0,78600.0,79200.0,75600.0,1627742.0,75900.0,73612.5,72780.0,83536.66666666669,83788.88888888889,78428.33333333331,74300.0,1
461,2018.11.09,72200.0,3400.0,75200.0,75600.0,71300.0,1486946.0,75140.0,73700.0,72980.0,82616.66666666669,83695.55555555556,78595.0,74316.66666666669,1
462,2018.11.12,65600.0,6600.0,69800.0,70100.0,65500.0,2869552.0,72880.0,73287.5,72670.0,81370.0,83440.0,78683.33333333331,74264.16666666669,1
463,2018.11.13,67700.0,2100.0,64200.0,68300.0,63500.0,3029453.0,71460.0,73125.0,72290.0,80213.33333333331,83217.77777777777,78891.66666666669,74203.33333333331,1
464,2018.11.14,69100.0,1400.0,67400.0,72000.0,66500.0,2900457.0,70040.0,72262.5,72310.0,78956.66666666669,83046.66666666669,79093.33333333331,74140.0,1
465,2018.11.15,71000.0,1900.0,70000.0,71700.0,68300.0,1762926.0,69120.0,71525.0,72510.0,78276.66666666669,82953.33333333331,79318.33333333331,74092.5,1
466,2018.11.16,71700.0,700.0,71400.0,73700.0,71000.0,1740396.0,69020.0,71137.5,72080.0,77493.33333333331,82871.11111111111,79488.33333333331,74049.16666666669,1
467,2018.11.19,75800.0,4100.0,72500.0,75900.0,72300.0,1954191.0,71060.0,71087.5,71970.0,77080.0,82857.77777777777,79743.33333333331,74060.83333333331,1
468,2018.11.20,72000.0,3800.0,74400.0,75500.0,71800.0,1915486.0,71920.0,70637.5,71690.0,76736.66666666669,82764.44444444444,79895.0,73990.83333333331,1
469,2018.11.21,72000.0,0.0,70100.0,72900.0,68600.0,2201457.0,72500.0,70612.5,71270.0,76340.0,82482.22222222223,80061.66666666669,73907.5,1
470,2018.11.22,71600.0,400.0,72300.0,73800.0,70700.0,1143191.0,72620.0,71362.5,70870.0,76073.33333333331,82146.66666666669,80208.33333333331,73833.33333333331,1
471,2018.11.23,70800.0,800.0,71600.0,73700.0,70500.0,1063366.0,72440.0,71750.0,70730.0,75443.33333333331,81651.11111111111,80305.0,73773.33333333331,1
472,2018.11.26,72900.0,2100.0,71500.0,73500.0,71300.0,1055003.0,71860.0,72225.0,71460.0,75040.0,81184.44444444444,80415.0,73702.5,1
473,2018.11.27,73100.0,200.0,74100.0,74800.0,72200.0,1000194.0,72080.0,72487.5,72000.0,74536.66666666669,80691.11111111111,80510.0,73640.83333333331,1
474,2018.11.28,72400.0,700.0,73500.0,73700.0,72100.0,679949.0,72160.0,72575.0,72330.0,74006.66666666669,80091.11111111111,80615.0,73560.83333333331,1
475,2018.11.29,70500.0,1900.0,74300.0,74300.0,70500.0,1011528.0,71940.0,71912.5,72280.0,73496.66666666669,79433.33333333331,80648.33333333331,73494.16666666669,1
476,2018.11.30,70700.0,200.0,70900.0,71700.0,70000.0,665775.0,71920.0,71750.0,72180.0,72986.66666666669,78786.66666666669,80553.33333333331,73412.5,1
477,2018.12.03,77600.0,6900.0,72400.0,77900.0,71800.0,3131233.0,72860.0,72450.0,72360.0,72640.0,78222.22222222223,80561.66666666669,73378.33333333331,1
478,2018.12.04,78200.0,600.0,77400.0,80100.0,76600.0,2503392.0,73880.0,73275.0,72980.0,72530.0,77684.44444444444,80570.0,73360.83333333331,1
