,회사명,종목코드
137,롯데손해보험,400
138,롯데칠성음료,5300
139,미원홀딩스,107590
140,백산,35150
141,범양건영,2410
142,보락,2760
143,보해양조,890
144,사조대림,3960
145,사조동아원,8040
146,사조씨푸드,14710
147,삼부토건,1470
148,삼양식품,3230
149,삼원강재,23000
150,삼호,1880
151,서원,21050
152,세방,4360
153,세아홀딩스,58650
154,세이브존I&C,67830
155,신세계인터내셔날,31430
156,신영와코루,5800
157,신일산업,2700
158,써니전자,4770
159,아시아나항공,20560
160,아이마켓코리아,122900
161,아이에이치큐,3560
162,엔씨소프트,36570
163,영보화학,14440
164,영원무역,111770
165,영진약품,3520
166,영풍,670
167,예스코홀딩스,15360
168,웅진코웨이,21240
169,유성기업,2920
170,유유제약,220
171,유한양행,100
172,이수화학,5950
173,이스타코,15020
174,일정실업,8500
175,자이에스앤디,317400
176,조선선재,120030
177,종근당,185750
178,진에어,272450
179,진원생명과학,11000
180,케이티,30200
181,코스모화학,5420
182,코아스,71950
183,쿠쿠홀딩스,192400
184,큐로,15590
185,태경화학,6890
186,태영건설,9410
187,티비에이치글로벌,84870
188,티웨이항공,91810
189,하이트론씨스템즈,19490
190,하이트진로,80
191,한국금융지주,71050
192,한국테크놀로지그룹,240
193,한국토지신탁,34830
194,한일시멘트,300720
195,한전KPS,51600
196,한화시스템,272210
197,해태제과식품,101530
198,현대중공업지주,267250
199,화승인더스트리,6060
200,화천기공,850
201,환인제약,16580
202,효성,4800
203,효성티앤씨,298020
204,BGF,27410
205,CJ,1040
206,HDC,12630
207,HDC현대산업개발,294870
208,KPX케미칼,25000
209,LG상사,1120
210,MH에탄올,23150
211,SBS,34120
212,SBS미디어홀딩스,101060
213,SK텔레콤,17670
214,YG PLUS,37270
215,강원랜드,35250
216,고려개발,4200
217,국동,5320
218,국제약품,2720
219,금양,1570
220,금호에이치티,214330
221,남영비비안,2070
222,넥센타이어,2350
223,넷마블,251270
224,녹십자홀딩스,5250
225,농심홀딩스,72710
226,다스코,58730
227,대웅제약,69620
228,대한유화,6650
229,더블유게임즈,192080
230,더존비즈온,12510
231,덕성,4830
232,동부제철,16380
233,동서,26960
234,동원산업,6040
235,두산퓨얼셀,336260
236,디아이,3160
237,디와이,13570
238,디티알오토모티브,7340
239,디피씨,26890
240,롯데정밀화학,4000
241,맥쿼리인프라,88980
242,메타랩스,90370
243,명문제약,17180
244,모토닉,9680
245,미원화학,134380
246,베트남개발1,96300
247,빙그레,5180
248,삼성에스디에스,18260
249,삼성중공업,10140
250,삼성증권,16360
251,삼양통상,2170
252,삼영무역,2810
253,삼정펄프,9770
254,샘표식품,248170
255,성보화학,3080
256,세아제강,306200
257,송원산업,4430
258,신세계푸드,31440
259,신영증권,1720
260,신화실업,1770
261,쌍방울,102280
262,아세아시멘트,183190
263,애경유화,161000
264,에어부산,298690
265,엔에스쇼핑,138250
266,엔에이치엔,181710
267,유니온,910
268,유니켐,11330
269,유진증권,1200
270,유화증권,3460
271,일성신약,3120
272,제이에스코퍼레이션,194370
273,조비,1550
274,종근당바이오,63160
275,종근당홀딩스,1630
276,지코,10580
277,진양화학,51630
278,케이탑리츠,145270
279,코스맥스비티아이,44820
280,코스모신소재,5070
281,태평양물산,7980
282,텔코웨어,78000
283,티웨이홀딩스,4870
284,팜스코,36580
285,퍼시스,16800
286,풍산홀딩스,5810
287,하나니켈1호,99340
288,하이스틸,71090
289,한국공항,5430
290,한국석유공업,4090
291,한국수출포장공업,2200
292,한국자산신탁,123890
293,한국주강,25890
294,한국콜마홀딩스,24720
295,한샘,9240
296,한섬,20000
297,한솔홀딩스,4150
298,한신기계공업,11700
299,한진중공업,97230
300,한화에어로스페이스,12450
301,현대그린푸드,5440
302,효성 ITX,94280
303,효성화학,298000
304,휴니드테크놀러지스,5870
305,AJ네트웍스,95570
306,DB하이텍,990
307,DSR제강,69730
308,HDC아이콘트롤스,39570
309,JW중외제약,1060
310,JW홀딩스,96760
311,KPX홀딩스,92230
312,KSS해운,44450
313,LF,93050
314,LG하우시스,108670
315,LG헬로비전,37560
316,LG화학,51910
317,LIG넥스원,79550
318,LS,6260
319,NAVER,35420
320,NH투자증권,5940
321,NI스틸,8260
322,SH에너지화학,2360
323,SK디앤디,210980
324,SK증권,1510
325,SK하이닉스,660
326,경인양행,12610
327,경인전자,9140
328,극동유화,14530
329,기신정기,92440
330,나노메딕스,74610
331,녹십자,6280
332,대교,19680
333,대동전자,8110
334,대림비앤코,5750
335,대창,12800
336,대한제분,1130
337,동국제강,1230
338,동일제강,2690
339,동화약품,20
340,두산솔루스,336370
341,디아이씨,92200
342,디와이파워,210540
343,롯데관광개발,32350
344,롯데지주,4990
345,롯데하이마트,71840
346,맵스리얼티1,94800
347,무림P&P,9580
348,무학,33920
349,미래아이앤지,7120
350,바다로19호,155900
351,부산주공,5030
352,비티원,101140
353,삼성물산,28260
354,삼성전자,5930
355,삼성제약,1360
356,삼익THK,4380
357,삼일제약,520
358,삼진제약,5500
359,삼화왕관,4450
360,서연,7860
361,선창산업,2820
362,성신양회,4980
363,세기상사,2420
364,세방전지,4490
365,세우글로벌,13000
366,세원정공,21820
367,셀트리온,68270
368,신라교역,4970
369,신성통상,5390
370,아모레퍼시픽,90430
371,아세아,2030
372,아이에스동서,10780
373,애경산업,18250
374,에스원,12750
375,에스제이엠,123700
376,에이리츠,140910
377,에이블씨엔씨,78520
378,에이엔피,15260
379,엔케이,85310
380,엔피씨,4250
381,영원무역홀딩스,9970
382,우신시스템,17370
383,우진아이엔에스,10400
384,우진플라임,49800
385,웅진에너지,103130
386,유니드,14830
387,유안타증권,3470
388,유양디앤유,11690
389,이건산업,8250
390,이연제약,102460
391,이월드,84680
392,조광페인트,4910
393,조선내화,480
394,지누스,13890
395,지엠비코리아,13870
396,참엔지니어링,9310
397,케이씨씨,2380
398,코리아오토글라스,152330
399,코오롱글로벌,3070
400,코오롱머티리얼,144620
401,콤텍시스템,31820
402,쿠쿠홈시스,284740
403,페이퍼코리아,1020
404,포스코,5490
405,포스코강판,58430
406,하나니켈2호,99350
407,하나제약,293480
408,한국화장품제조,3350
409,한독,2390
410,한솔피엔에스,10420
411,한양증권,1750
412,한전산업,130660
413,한진중공업홀딩스,3480
414,한진칼,180640
415,한화,880
416,한화솔루션,9830
417,현대에너지솔루션,322000
418,현대제철,4020
419,BGF리테일,282330
420,CJ제일제당,97950
421,DB금융투자,16610
422,DGB금융지주,139130
423,E1,17940
424,GS,78930
425,HDC현대EP,89470
426,KEC,92220
427,KISCO홀딩스,1940
428,LG,3550
429,LS전선아시아,229640
430,NH프라임리츠,338100
431,S&T중공업,3570
432,S&T홀딩스,36530
433,S-Oil,10950
434,계룡건설산업,13580
435,노루페인트,90350
436,대덕전자,8060
437,대상홀딩스,84690
438,대성홀딩스,16710
439,대우조선해양,42660
440,덴티움,145720
441,동원F&B,49770
442,두산밥캣,241560
443,두산중공업,34020
444,드림텍,192650
445,디아이동일,1530
446,롯데제과,280360
447,만호제강,1080
448,모나미,5360
449,문배철강,8420
450,미래에셋생명,85620
451,미원상사,2840
452,미창석유공업,3650
453,백광산업,1340
454,벽산,7210
455,부광약품,3000
456,부국철강,26940
457,부산도시가스,15350
458,비상교육,100220
459,삼성공조,6660
460,삼성생명,32830
461,삼성전기,9150
462,삼양패키징,272550
463,삼화전기,9470
464,샘표,7540
465,서흥,8490
466,세진중공업,75580
467,세화아이엠씨,145210
468,센트랄모텍,308170
469,수산중공업,17550
470,신세계I&C,35510
471,신세계건설,34300
472,신원,9270
473,에이프로젠 KIC,7460
474,오리온,271560
475,우리금융지주,316140
476,우리종금,10050
477,우성사료,6980
478,웰바이오텍,10600
479,이아이디,93230
480,인천도시가스,34590
481,일동홀딩스,230
482,일진머티리얼즈,20150
483,조광피혁,4700
484,진흥기업,2780
485,청호컴넷,12600
486,카카오,35720
487,케이씨티시,9070
488,케이티스카이라이프,53210
489,코리안리,3690
490,크라운해태홀딩스,5740
491,태림포장,11280
492,태원물산,1420
493,팬오션,28670
494,평화산업,90080
495,한국타이어앤테크놀로지,161390
496,한국프랜지공업,10100
497,한미글로벌,53690
498,한솔케미칼,14680
499,한솔테크닉스,4710
500,한온시스템,18880
501,현대로템,64350
502,현대상선,11200
503,현대오토에버,307950
504,형지엘리트,93240
505,혜인,3010
506,화성산업,2460
507,화승엔터프라이즈,241590
508,휠라홀딩스,81660
509,휴비스,79980
510,흥아해운,3280
511,DB,12030
512,DB손해보험,5830
513,F&F,7700
514,GS리테일,7070
515,JW생명과학,234080
516,KC그린홀딩스,9440
517,KR모터스,40
518,LG유플러스,32640
519,LG전자,66570
520,LS산전,10120
521,STX중공업,71970
522,경농,2100
523,경방,50
524,계양전기,12200
525,광동제약,9290
526,교보증권,30610
527,국도화학,7690
528,금비,8870
529,금호타이어,73240
530,기아자동차,270
531,남해화학,25860
532,대림산업,210
533,대림통상,6570
534,대웅,3090
535,대원강업,430
536,대원전선,6340
537,대원화성,24890
538,대유에이텍,2880
539,동부건설,5960
540,동성제약,2210
541,동양고속,84670
542,동양철관,8970
543,동원수산,30720
544,동일고무벨트,163560
545,롯데쇼핑,23530
546,롯데정보통신,286940
547,만도,204320
548,메리츠화재,60
549,미원에스씨,268280
550,백광소재,14580
551,부산산업,11390
552,삼광글라스,5090
553,삼성엔지니어링,28050
554,삼익악기,2450
555,삼천리,4690
556,서울식품공업,4410
557,성창기업지주,180
558,세종공업,33530
559,세하,27970
560,시디즈,134790
561,신한,5450
562,쌍용자동차,3620
563,씨아이테크,4920
564,아모레퍼시픽그룹,2790
565,아시아나IDT,267850
566,아주캐피탈,33660
567,알루코,1780
568,에스제이엠홀딩스,25530
569,엘브이엠씨,900140
570,오뚜기,7310
571,오렌지라이프,79440
572,이구산업,25820
573,이수페타시스,7660
574,인디에프,14990
575,일진다이아,81000
576,일진홀딩스,15860
577,자화전자,33240
578,전방,950
579,제이준코스메틱,25620
580,제이콘텐트리,36420
581,제일기획,30000
582,지투알,35000
583,진양폴리우레탄,10640
584,키위미디어그룹,12170
585,티에이치엔,19180
586,퍼스텍,10820
587,하이골드3호,153360
588,한국ANKOR유전,152550
589,한국내화,10040
590,한국주철관공업,970
591,한국콜마,161890
592,한국화장품,123690
593,한라,14790
594,한미반도체,42700
595,한세엠케이,69640
596,한솔제지,213500
597,한솔홈데코,25750
598,한올바이오파마,9420
599,해성디에스,195870
600,핸즈코퍼레이션,143210
601,현대리바트,79430
602,현대차증권,1500
603,화천기계,10660
604,황금에스티,32560
605,효성첨단소재,298050
606,후성,93370
607,휴스틸,5010
608,휴켐스,69260
609,AK홀딩스,6840
610,JB금융지주,175330
611,KC코트렐,119650
612,KG케미칼,1390
613,KTB투자증권,30210
614,KTcs,58850
615,LG생활건강,51900
616,NICE,34310
617,SG세계물산,4060
618,SIMPAC,9160
619,SK가스,18670
620,STX엔진,77970
621,TCC스틸,2710
622,가온전선,500
623,경보제약,214390
624,고려산업,2140
625,광전자,17900
626,넥센,5720
627,넥스트사이언스,3580
628,농심,4370
629,다우기술,23590
630,대동공업,490
631,대림씨엔에스,4440
632,대성산업,128820
633,대유플러스,300
634,대한전선,1440
635,대한항공,3490
636,대한화섬,3830
637,대호에이엘,69460
638,도화엔지니어링,2150
639,동방,4140
640,동북아13호선박투자,83380
641,동아타이어,282690
642,동양피스톤,92780
643,동원시스템즈,14820
644,두산건설,11160
645,롯데리츠,330590
646,미래산업,25560
647,방림,3610
648,보령제약,3850
649,사조오양,6090
650,삼아알미늄,6110
651,삼양사,145990
652,삼호개발,10960
653,삼화전자공업,11230
654,삼화콘덴서공업,1820
655,삼화페인트공업,390
656,새론오토모티브,75180
657,성문전자,14910
658,세아베스틸,1430
659,세아제강지주,3030
660,신도리코,29530
661,신세계,4170
662,쌍용양회공업,3410
663,아남전자,8700
664,아세아제지,2310
665,에스엘,5850
666,에쓰씨엔지니어링,23960
667,엔케이물산,9810
668,오리엔트바이오,2630
669,오리온홀딩스,1800
670,우리들휴브레인,118000
671,웅진,16880
672,유니퀘스트,77500
673,일신석재,7110
674,일양약품,7570
675,주연테크,44380
676,진양산업,3780
677,케이비아이동국실업,1620
678,케이씨,29460
679,코오롱,2020
680,키움증권,39490
681,태경산업,15890
682,파미셀,5690
683,평화홀딩스,10770
684,포스코인터내셔널,47050
685,풀무원,17810
686,하이트진로홀딩스,140
687,한국단자공업,25540
688,한국쉘석유,2960
689,한국카본,17960
690,한국특수형강,7280
691,한농화성,11500
692,한미사이언스,8930
693,한신공영,4960
694,한익스프레스,14130
695,한전기술,52690
696,한화손해보험,370
697,한화투자증권,3530
698,현대글로비스,86280
699,현대백화점,69960
700,현대일렉트릭,267260
701,현대코퍼레이션홀딩스,227840
702,현대해상,1450
703,화승알앤에이,13520
704,화인베스틸,133820
705,BYC,1460
706,CJ대한통운,120
707,CJ씨푸드,11150
708,DRB동일,4840
709,KTis,58860
710,LS네트웍스,680
711,SK디스커버리,6120
712,SK케미칼,285130
713,강남제비스코,860
714,경동나비엔,9450
715,광명전기,17040
716,광주신세계,37710
717,그린케미칼,83420
718,금호석유화학,11780
719,금호전기,1210
720,깨끗한나라,4540
721,남광토건,1260
722,노루홀딩스,320
723,대상,1680
724,대성에너지,117580
725,대우부품,9320
726,대창단조,15230
727,동북아12호선박투자,83370
728,동성화학,5190
729,동아에스티,170900
730,동아지질,28100
731,동양물산기업,2900
732,동일산업,4890
733,롯데케미칼,11170
734,롯데푸드,2270
735,메리츠금융지주,138040
736,메리츠종금증권,8560
737,모나리자,12690
738,미래에셋대우,6800
739,사조산업,7160
740,상신브레이크,41650
741,서연이화,200880
742,서울도시가스,17390
743,성안,11300
744,세아특수강,19440
745,신대양제지,16590
746,신풍제지,2870
747,신흥,4080
748,씨에스윈드,112610
749,에이프로젠제약,3060
750,영풍제지,6740
751,영흥철강,12160
752,용평리조트,70960
753,우리들제약,4720
754,웅진씽크빅,95720
755,유수홀딩스,700
756,유엔젤,72130
757,율촌화학,8730
758,이노션,214320
759,이마트,139480
760,이화산업,760
761,인스코비,6490
762,인팩,23810
763,일성건설,13360
764,일신방직,3200
765,일진디스플,20760
766,일진전기,103590
767,잇츠한불,226320
768,제주은행,6220
769,진양홀딩스,100250
770,천일고속,650
771,체시스,33250
772,카리스국보,1140
773,카프로,6380
774,케이씨텍,281820
775,케이티앤지,33780
776,크라운제과,264900
777,테이팩스,55490
778,토니모리,214420
779,폴루스바이오팜,7630
780,풍산,103140
781,하나금융지주,86790
782,하이골드12호,172580
783,하이골드8호,159650
784,한국가스공사,36460
785,한국전력공사,15760
786,한국항공우주,47810
787,한성기업,3680
788,한세예스24홀딩스,16450
789,한일홀딩스,3300
790,한창,5110
791,현대미포조선,10620
792,현대약품,4310
793,현대에이치씨엔,126560
794,현대위아,11210
795,현대자동차,5380
796,현대종합상사,11760
797,화신,10690
798,흥국화재,540
