,회사명,종목코드
0,CJ프레시웨이,51500
1,CSA 코스믹,83660
2,GH신소재,130500
3,GST,83450
4,JW신약,67290
5,KB오토시스,24120
6,SK5호스팩,337450
7,THE E&M,89230
8,TJ미디어,32540
9,YW,51390
10,갤럭시아컴즈,94480
11,고려시멘트,198440
12,교보8호스팩,307280
13,나스미디어,89600
14,네오오토,212560
15,네오티스,85910
16,네이처셀,7390
17,녹십자셀,31390
18,뉴인텍,12340
19,뉴프렉스,85670
20,대봉엘에스,78140
21,대한뉴팜,54670
22,대한약품,23910
23,덕산네오룩스,213420
24,덱스터,206560
25,동구바이오제약,6620
26,디에이피,66900
27,디엔에이링크,127120
28,디엔에프,92070
29,디오,39840
30,디지틀조선,33130
31,디케이앤디,263020
32,디케이티,290550
33,레드캡투어,38390
34,리메드,302550
35,매일홀딩스,5990
36,메디프론,65650
37,메탈라이프,327260
38,명성티엔에스,257370
39,모비스,250060
40,모트렉스,118990
41,미래SCI,28040
42,미래컴퍼니,49950
43,미래테크놀로지,213090
44,바이넥스,53030
45,부스타,8470
46,브이티지엠피,18290
47,삼보산업,9620
48,삼보판지,23600
49,삼아제약,9300
50,상지카일룸,42940
51,서전기전,189860
52,성창오토텍,80470
53,세보엠이씨,11560
54,세종메디칼,258830
55,세코닉스,53450
56,셀리드,299660
57,솔트웍스,230980
58,수젠텍,253840
59,슈프리마,236200
60,스타모빌리티,158310
61,승일,49830
62,신테카바이오,226330
63,심텍,222800
64,싸이토젠,217330
65,쎄미시스코,136510
66,씨트리,47920
67,씨티젠,36170
68,아이씨디,40910
69,아이원스,114810
70,아이즈비전,31310
71,아이텍,119830
72,알에프세미,96610
73,알에프텍,61040
74,알테오젠,196170
75,액트,131400
76,에스아이리소스,65420
77,에스에너지,95910
78,에스에스알,275630
79,에스에프씨,112240
80,에스제이케이,80440
81,에스코넥,96630
82,에스티오,98660
83,에이티넘인베스트,21080
84,에이피티씨,89970
85,에코프로비엠,247540
86,에프에스티,36810
87,엑세스바이오,950130
88,엑셈,205100
89,엘아이에스,138690
90,엠씨넥스,97520
91,영화테크,265560
92,오공,45060
93,오픈베이스,49480
94,옵티시스,109080
95,옵티팜,153710
96,와이지-원,19210
97,우리바이오,82850
98,원익QnC,74600
99,원익큐브,14190
100,원풍물산,8290
101,웨이브일렉트로,95270
102,웰크론,65950
103,위지트,36090
104,유니테크노,241690
105,유바이오로직스,206650
106,유안타제5호스팩,336060
107,유진스팩5호,331380
108,유진테크,84370
109,육일씨엔에쓰,191410
110,이노인스트루먼트,215790
111,이스트소프트,47560
112,이엠넷,123570
113,이엠코리아,95190
114,이퓨쳐,134060
115,인베니아,79950
116,인텍플러스,64290
117,잉크테크,49550
118,제우스,79370
119,제이엔케이히터,126880
120,제이엘케이인스펙션,322510
121,제이엠티,94970
122,제일제강,23440
123,제주반도체,80220
124,젬백스지오,41590
125,조아제약,34940
126,주성엔지니어링,36930
127,중앙에너비스,440
128,지니틱스,303030
129,지엔씨에너지,119850
130,지엔코,65060
131,진매트릭스,109820
132,창해에탄올,4650
133,컬러레이,900310
134,케이피엠테크,42040
135,케이피티유,54410
136,코리아에셋투자증권,190650
137,코센,9730
138,코스온,69110
139,코아스템,166480
140,코오롱생명과학,102940
141,코프라,126600
142,큐브엔터,182360
143,토탈소프트,45340
144,톱텍,108230
145,트루윈,105550
146,특수건설,26150
147,티앤알바이오팹,246710
148,파세코,37070
149,파수닷컴,150900
150,파커스,65690
151,푸드웰,5670
152,푸른저축은행,7330
153,퓨전,195440
154,프로스테믹스,203690
155,피델릭스,32580
156,피에스엠씨,24850
157,피에스케이,319660
158,하나금융10호스팩,270520
159,한국맥널티,222980
160,한국전자금융,63570
161,한양디지텍,78350
162,한일화학,7770
163,한컴MDS,86960
164,한컴위드,54920
165,한화에이스스팩4호,279410
166,해성옵틱스,76610
167,현진소재,53660
168,화성밸브,39610
169,화이브라더스코리아,204630
170,APS홀딩스,54620
171,CJ ENM,35760
172,CMG제약,58820
173,CS,65770
174,EG,37370
175,HRS,36640
176,KG모빌리언스,46440
177,KJ프리텍,83470
178,KMH,122450
179,MP그룹,65150
180,NICE평가정보,30190
181,PN풍년,24940
182,SBI핀테크솔루션즈,950110
183,SCI평가정보,36120
184,SM C&C,48550
185,SM Life Design,63440
186,SNK,950180
187,감마누,192410
188,강원,114190
189,광림,14200
190,국일신동,60480
191,나노,187790
192,나노엔텍,39860
193,남화토건,91590
194,네오위즈홀딩스,42420
195,넥스턴,89140
196,뉴로스,126870
197,뉴지랩,214870
198,뉴파워프라즈마,144960
199,대동금속,20400
200,대아티아이,45390
201,대유에이피,290120
202,대주전자재료,78600
203,대창솔루션,96350
204,덕신하우징,90410
205,동방선기,99410
206,동부스팩5호,281740
207,동아엘텍,88130
208,동양파일,228340
209,동양피엔에프,104460
210,디아이티,110990
211,디알텍,214680
212,디에스티,33430
213,라이브플렉스,50120
214,로고스바이오,238120
215,메디아나,41920
216,메이슨캐피탈,21880
217,메타바이오메드,59210
218,모두투어,80160
219,미래에셋대우스팩3호,328380
220,미래에셋벤처투자,100790
221,미투온,201490
222,바디텍메드,206640
223,바이오로그디바이스,208710
224,뷰웍스,100120
225,브이원텍,251630
226,블루콤,33560
227,비덴트,121800
228,비아트론,141000
229,비츠로셀,82920
230,비트컴퓨터,32850
231,빛샘전자,72950
232,삼륭물산,14970
233,삼양옵틱스,225190
234,삼영이엔씨,65570
235,삼일,32280
236,삼일기업공사,2290
237,삼지전자,37460
238,삼진,32750
239,삼화네트웍스,46390
240,상신이디피,91580
241,상아프론테크,89980
242,서린바이오,38070
243,서울제약,18680
244,성우하이텍,15750
245,세경하이테크,148150
246,세명전기,17510
247,셀바스헬스케어,208370
248,손오공,66910
249,수성,84180
250,슈펙스비앤피,58530
251,신라에스지,25870
252,신라젠,215600
253,신영스팩5호,323280
254,씨큐브,101240
255,아가방컴퍼니,13990
256,아리온,58220
257,아모텍,52710
258,아미코젠,92040
259,아이에이,38880
260,아이오케이,78860
261,아이티엠반도체,84850
262,액트로,290740
263,앱클론,174900
264,에스제이그룹,306040
265,에스퓨얼셀,288620
266,에이스테크,88800
267,에이치엘비,28300
268,에코마이스터,64510
269,에프알텍,73540
270,에프엔에스테크,83500
271,엔에이치스팩12호,273060
272,엔에이치스팩14호,319400
273,엔지켐생명과학,183490
274,엘티씨,170920
275,엠벤처투자,19590
276,엠아이텍,179290
277,연우,115960
278,예림당,36000
279,예스24,53280
280,오르비텍,46120
281,오리엔트정공,65500
282,옴니텔,57680
283,와이디온라인,52770
284,우리손에프앤지,73560
285,우수AMS,66590
286,원일특강,12620
287,유니테스트,86390
288,유안타제6호스팩,340360
289,유에스티,263770
290,이글루시큐리티,67920
291,이글벳,44960
292,이녹스,88390
293,이랜시스,264850
294,이엠텍,91120
295,인선이엔티,60150
296,인크로스,216050
297,인포바인,115310
298,인포뱅크,39290
299,자이글,234920
300,정상제이엘에스,40420
301,제이스텍,90470
302,제일바이오,52670
303,줌인터넷,239340
304,지노믹트리,228760
305,지니뮤직,43610
306,지란지교시큐리티,208350
307,지와이커머스,111820
308,참좋은여행,94850
309,캐스텍코리아,71850
310,케이비제19호스팩,330990
311,케이씨에스,115500
312,케이씨피드,25880
313,케이엔제이,272110
314,코데즈컴바인,47770
315,코디,80530
316,코렌,78650
317,코리아센터,290510
318,코메론,49430
319,코미팜,41960
320,코웰패션,33290
321,코위버,56360
322,콜마비앤에이치,200130
323,크로바하이텍,43590
324,키움제5호스팩,311270
325,타이거일렉,219130
326,테고사이언스,191420
327,테스나,131970
328,투비소프트,79970
329,티비씨,33830
330,파루,43200
331,파워로직스,47310
332,파인디지털,38950
333,패션플랫폼,225590
334,팬엔터테인먼트,68050
335,팬젠,222110
336,펌텍코리아,251970
337,풍강,93380
338,피에스텍,2230
339,하나마이크론,67310
340,하이록코리아,13030
341,한국경제TV,39340
342,한국바이오젠,318000
343,한국비엔씨,256840
344,한국아트라스비엑스,23890
345,한국알콜,17890
346,한국유니온제약,80720
347,한국정보통신,25770
348,한국팩키지,37230
349,한글과컴퓨터,30520
350,한탑,2680
351,현대공업,170030
352,형지I&C,11080
353,휴맥스홀딩스,28080
354,AP위성,211270
355,DB금융스팩7호,322780
356,IBKS제10호스팩,299170
357,JTC,950170
358,KCC건설,21320
359,KCI,36670
360,KG ETS,151860
361,NHN벅스,104200
362,SGA솔루션즈,184230
363,SKC코오롱PI,178920
364,SK바이오랜드,52260
365,SV인베스트먼트,289080
366,게임빌,63080
367,경남제약,53950
368,경창산업,24910
369,골프존뉴딘홀딩스,121440
370,교보9호스팩,331520
371,그리티,204020
372,기가레인,49080
373,나노신소재,121600
374,나인컴플렉스,82660
375,남화산업,111710
376,네이블커뮤니케이션즈,153460
377,넥슨지티,41140
378,노바렉스,194700
379,녹원씨엔아이,65560
380,뉴프라이드,900100
381,다산네트웍스,39560
382,다원시스,68240
383,대성파인텍,104040
384,대원산업,5710
385,대유,290380
386,동신건설,25950
387,동일기연,32960
388,듀오백,73190
389,디엠티,134580
390,디젠스,113810
391,디지아이,43360
392,디지털대성,68930
393,디티앤씨,187220
394,램테크놀러지,171010
395,럭슬,33600
396,레고켐바이오,141080
397,로보스타,90360
398,리드코프,12700
399,린드먼아시아,277070
400,마이크로프랜드,147760
401,머큐리,100590
402,메디톡스,86900
403,메디포스트,78160
404,메지온,140410
405,모바일리더,100030
406,모바일어플라이언스,87260
407,바이오니아,64550
408,바이오제네틱스,44480
409,베뉴지,19010
410,베셀,177350
411,보라티알,250000
412,부방,14470
413,브리지텍,64480
414,블러썸엠앤씨,263920
415,비피도,238200
416,사람인에이치알,143240
417,삼본전자,111870
418,삼진엘앤디,54090
419,삼천리자전거,24950
420,삼현철강,17480
421,서부T&D,6730
422,서산,79650
423,서플러스글로벌,140070
424,성우테크론,45300
425,세틀뱅크,234340
426,소프트캠프,258790
427,솔본,35610
428,수산아이앤티,50960
429,시공테크,20710
430,신성델타테크,65350
431,신스타임즈,56000
432,신한제5호스팩,323230
433,신한제6호스팩,333050
434,쎄노텍,222420
435,쎄트렉아이,99320
436,쎌바이오텍,49960
437,씨엔플러스,115530
438,아비코전자,36010
439,아이스크림에듀,289010
440,아진산업,13310
441,아진엑스텍,59120
442,아프리카TV,67160
443,애니젠,196300
444,에스마크,30270
445,에스앤씨엔진그룹,900080
446,에스에프에이,56190
447,에스엠,41510
448,에이디칩스,54630
449,에이비엘바이오,298380
450,에이스침대,3800
451,에이스토리,241840
452,에이아이비트,39230
453,에이치시티,72990
454,엔시트론,101400
455,엘디티,96870
456,엘비세미콘,61970
457,엘컴텍,37950
458,엠에스오토텍,123040
459,영인프런티어,36180
460,예스티,122640
461,오텍,67170
462,오파스넷,173130
463,와이엔텍,67900
464,원익머트리얼즈,104830
465,원익홀딩스,30530
466,원풍,8370
467,웹스,196700
468,웹젠,69080
469,웹케시,53580
470,위닉스,44340
471,위메이드,112040
472,윈팩,97800
473,유니맥스글로벌,215090
474,유비쿼스,264450
475,유비쿼스홀딩스,78070
476,유테크,178780
477,유티아이,179900
478,유틸렉스,263050
479,이건홀딩스,39020
480,이노메트리,302430
481,이노와이어리스,73490
482,이랜텍,54210
483,이매진아시아,36260
484,이미지스,115610
485,이수앱지스,86890
486,인성정보,33230
487,인탑스,49070
488,재영솔루텍,49630
489,정산애강,22220
490,제이스테판,96690
491,제이에스티나,26040
492,제이웨이,58420
493,제이티,89790
494,조이맥스,101730
495,지니언스,263860
496,지엘팜텍,204840
497,진바이오텍,86060
498,진성티이씨,36890
499,캐리소프트,317530
500,캠시스,50110
501,케이비제18호스팩,323940
502,케이피에프,24880
503,코나아이,52400
504,코다코,46070
505,코이즈,121850
506,키네마스터,139670
507,탑엔지니어링,65130
508,태웅로직스,124560
509,토비스,51360
510,티로보틱스,117730
511,티씨케이,64760
512,티피씨글로벌,130740
513,파나진,46210
514,파라다이스,34230
515,파멥신,208340
516,파버나인,177830
517,파크시스템스,140860
518,포메탈,119500
519,포티스,141020
520,프로텍,53610
521,플리토,300080
522,피제이메탈,128660
523,필옵틱스,161580
524,하나금융11호스팩,284620
525,하나금융14호스팩,332710
526,한국제7호스팩,291210
527,한국캐피탈,23760
528,한솔씨앤피,221610
529,한일네트웍스,46110
530,한일진공,123840
531,한화에스비아이스팩,317320
532,행남사,8800
533,휴젤,145020
534,희림,37440
535,DSC인베스트먼트,241520
536,IBKS제7호스팩,276920
537,SDN,99220
538,SK4호스팩,307070
539,SKC 솔믹스,57500
540,SK머티리얼즈,36490
541,UCI,38340
542,WI,73570
543,가비아,79940
544,강스템바이오텍,217730
545,경남스틸,39240
546,골프존,215000
547,교보7호스팩,267320
548,국순당,43650
549,글로벌텍스프리,204620
550,글로본,19660
551,나노브릭,286750
552,나무기술,242040
553,나이벡,138610
554,넷게임즈,225570
555,녹십자랩셀,144510
556,대성미생물,36480
557,대신밸런스제7호스팩,332290
558,대양전기공업,108380
559,대창스틸,140520
560,대한과학,131220
561,덕산테코피아,317330
562,덕산하이메탈,77360
563,덕우전자,263600
564,동국산업,5160
565,동국제약,86450
566,동진쎄미켐,5290
567,두올산업,78590
568,디에스케이,109740
569,디오스텍,196450
570,딜리,131180
571,라이온켐텍,171120
572,로지시스,67730
573,루미마이크로,82800
574,링네트,42500
575,메가스터디교육,215200
576,메카로,241770
577,모헨즈,6920
578,미래에셋대우스팩2호,310200
579,미스터블루,207760
580,바이온,32980
581,비디아이,148140
582,비에이치아이,83650
583,삼원테크,73640
584,상보,27580
585,상신전자,263810
586,새로닉스,42600
587,서연탑메탈,19770
588,서원인텍,93920
589,서진오토모티브,122690
590,서호전기,65710
591,성호전자,43260
592,셀루메드,49180
593,셀트리온제약,68760
594,슈프리마에이치큐,94840
595,스카이문스테크놀로지,33790
596,스타플렉스,115570
597,스튜디오드래곤,253450
598,시노펙스,25320
599,신원종합개발,17000
600,씨씨에스,66790
601,씨앤지하이테크,264660
602,씨에스베어링,297090
603,씨젠,96530
604,아스타,246720
605,아스트,67390
606,아시아종묘,154030
607,아우딘퓨쳐스,227610
608,아이에이네트웍스,123010
609,아이엠텍,226350
610,아이진,185490
611,아이큐어,175250
612,아이크래프트,52460
613,아톤,158430
614,알이피,131100
615,에스모,73070
616,에스텍파마,41910
